"","eventDate","kingdom","phylum","class","order","family","genus","species","month","day","year"
"358","2014-03-30T13:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",3,31,2014
"537","2012-09-19T14:00:00Z","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","Uperoleia","Uperoleia fusca",9,20,2012
"551","2010-06-17T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus poliocephalus",6,18,2010
"552","2013-09-12T14:00:00Z","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Porphyrio porphyrio",9,13,2013
"588","2011-12-15T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",12,16,2011
"619","2015-03-06T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Artamidae","Strepera","Strepera graculina",3,7,2015
"629","2010-12-27T13:00:00Z","Animalia","Chordata","Amphibia","Anura","Hylidae","Litoria","Litoria latopalmata",12,28,2010
"650","2010-12-29T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone olivacea",12,30,2010
"721","2010-03-18T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",3,19,2010
"801","2010-03-01T13:00:00Z","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","Crinia","Crinia parinsignifera",3,2,2010
"816","2017-04-19T14:00:00Z","Animalia","Chordata","Aves","Psittaciformes","Cacatuidae","Calyptorhynchus","Calyptorhynchus lathami",4,20,2017
"843","2015-06-09T14:00:00Z","Animalia","Chordata","Aves","Gruiformes","Rallidae","Lewinia","Lewinia pectoralis",6,10,2015
"864","2011-06-30T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Artamidae","Strepera","Strepera graculina",7,1,2011
"873","2010-03-18T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",3,19,2010
"963","2011-07-23T14:00:00Z","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Haliastur","Haliastur indus",7,24,2011
"1031","2011-09-25T14:00:00Z","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae",9,26,2011
"1111","2013-04-20T14:00:00Z","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Nycticorax","Nycticorax caledonicus",4,21,2013
"1152","2012-10-14T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris compressa",10,15,2012
"1504","2013-10-10T13:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus maculatus",10,11,2013
"1597","2010-10-22T13:00:00Z","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Alisterus","Alisterus scapularis",10,23,2010
"4383","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"4465","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"4514","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"4601","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"4612","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"4644","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"4698","2017-03-31T13:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",4,1,2017
"5244","2017-06-08T22:06:00Z","Animalia","Chordata","Aves","Passeriformes","Artamidae","Cracticus","Cracticus nigrogularis",6,9,2017
"5299","2021-03-26T01:20:00Z","Plantae","Charophyta","Equisetopsida","Liliales","Ripogonaceae","Ripogonum","Ripogonum brevifolium",3,26,2021
"5664","2021-03-23T06:29:00Z","Animalia","Arthropoda","Insecta","Hemiptera","Miridae","","",3,23,2021
"5798","2019-06-05T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus melanocephalus",6,6,2019
"5990","2020-03-21T06:16:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Belenois","Belenois java",3,21,2020
"6373","2020-09-29T10:06:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phalangeridae","Trichosurus","Trichosurus vulpecula",9,29,2020
"6852","2020-09-15T09:38:00Z","Animalia","Chordata","Aves","Caprimulgiformes","Podargidae","Podargus","Podargus strigoides",9,15,2020
"6924","2019-09-21T00:20:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio demoleus",9,21,2019
"11848","2018-12-23T23:39:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio aegeus",12,24,2018
"11864","2016-12-10T13:50:00Z","Plantae","Tracheophyta","","","","","",12,11,2016
"715","2012-09-21T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus orru",9,22,2012
"723","2013-09-16T14:00:00Z","Animalia","Chordata","Amphibia","Anura","Limnodynastidae","Adelotus","Adelotus brevis",9,17,2013
"1552","2010-10-24T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Gobiomorphus","Gobiomorphus australis",10,25,2010
"1907","2014-07-05T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Manorina","Manorina melanocephala",7,6,2014
"1983","2015-01-03T13:00:00Z","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","Merops ornatus",1,4,2015
"2093","2017-07-24T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus miles",7,25,2017
"2100","2016-01-21T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Artamidae","Strepera","Strepera graculina",1,22,2016
"2207","2010-10-22T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus cyaneus",10,23,2010
"2752","2012-04-12T14:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris galii",4,13,2012
"5150","2019-03-04T08:20:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Limacodidae","Doratifera","Doratifera vulnerans",3,4,2019
"5210","2021-03-17T06:42:00Z","Fungi","","","","","","",3,17,2021
"5318","2019-12-18T23:56:00Z","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Xanthagrion","Xanthagrion erythroneurum",12,19,2019
"5608","2021-03-11T23:57:00Z","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Aleeta","Aleeta curvicosta",3,12,2021
"6889","2020-12-08T23:50:00Z","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Grallina","Grallina cyanoleuca",12,9,2020
"8130","2019-12-13T03:06:00Z","Plantae","Charophyta","Equisetopsida","Rosales","Moraceae","Trophis","Trophis scandens",12,12,2019
"1318","2012-10-21T13:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki",10,22,2012
"1353","2012-10-21T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris galii",10,22,2012
"1380","2011-04-10T14:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus maculatus",4,11,2011
"1390","2015-07-05T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius ruficapillus",7,6,2015
"1406","2015-10-11T13:00:00Z","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus conspicillatus",10,12,2015
"1444","2013-10-19T13:00:00Z","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Chalcites","Chalcites lucidus",10,20,2013
"1506","2016-01-16T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus orru",1,17,2016
"1526","2015-04-16T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius leschenaultii",4,17,2015
"1568","2015-04-06T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus bergii",4,7,2015
"1643","2015-01-03T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Jacanidae","Irediparra","Irediparra gallinacea",1,4,2015
"1709","2011-04-14T14:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus hellerii",4,15,2011
"1789","2012-10-07T13:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",10,8,2012
"1794","2013-10-12T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Acridotheres tristis",10,13,2013
"1847","2010-03-18T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",3,19,2010
"1986","2011-10-19T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus poliocephalus",10,20,2011
"2042","2013-10-13T13:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",10,14,2013
"2059","2010-01-06T13:00:00Z","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","Butorides striatus",1,7,2010
"2246","2014-07-05T14:00:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Nacaduba","Nacaduba berenice",7,6,2014
"2396","2015-04-06T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa lapponica",4,7,2015
"2656","2010-10-21T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris compressa",10,22,2010
"2704","2011-04-20T14:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus hellerii",4,21,2011
"2774","2015-10-18T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus bergii",10,19,2015
"2881","2015-07-15T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon nigricans",7,16,2015
"3019","2015-01-08T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa lapponica",1,9,2015
"3446","2011-05-13T14:00:00Z","Plantae","Charophyta","Equisetopsida","Lamiales","Lamiaceae","Westringia","Westringia eremicola",5,14,2011
"6976","2020-12-28T06:21:00Z","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera philoxeroides",12,28,2020
"7473","2021-03-09T01:52:00Z","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Pultenaea","Pultenaea villosa",3,9,2021
"11858","2018-03-14T01:05:00Z","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Nephila","",3,14,2018
"11904","2021-03-30T22:03:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Herpetogramma","Herpetogramma licarsisalis",3,31,2021
"11922","2020-12-05T03:34:00Z","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Orthetrum","Orthetrum villosovittatum",12,5,2020
"11953","2018-12-31T08:12:00Z","Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Amorbus","",12,31,2018
"1247","2011-10-19T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus bergii",10,20,2011
"1328","2013-04-21T14:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Mogurnda","Mogurnda adspersa",4,22,2013
"1345","2012-10-21T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Gobiomorphus","Gobiomorphus australis",10,22,2012
"1350","2015-10-11T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius leschenaultii",10,12,2015
"1359","2012-10-14T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris compressa",10,15,2012
"1382","2010-10-24T13:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki",10,25,2010
"1574","2015-07-15T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo neoxena",7,16,2015
"1639","2014-04-24T14:00:00Z","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Lophoictinia","Lophoictinia isura",4,25,2014
"1651","2011-10-19T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Burhinidae","Burhinus","Burhinus grallarius",10,20,2011
"1680","2015-08-31T14:00:00Z","Animalia","Chordata","Reptilia","Squamata","Pythonidae","Morelia","Morelia spilota",9,1,2015
"1681","2012-04-11T14:00:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phalangeridae","Trichosurus","Trichosurus vulpecula",4,12,2012
"1711","2015-04-16T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus bengalensis",4,17,2015
"1747","2014-04-06T14:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",4,7,2014
"1761","2015-07-30T14:00:00Z","Animalia","Chordata","Aves","Gruiformes","Rallidae","Lewinia","Lewinia pectoralis",7,31,2015
"1817","2015-01-31T13:00:00Z","Animalia","Chordata","Amphibia","Anura","Hylidae","Litoria","Litoria olongburensis",2,1,2015
"1843","2014-07-05T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura albiscapa",7,6,2014
"1899","2011-07-14T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus poliocephalus",7,15,2011
"2001","2011-05-13T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Pardalotidae","Pardalotus","Pardalotus striatus",5,14,2011
"2040","2014-07-05T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus novaehollandiae",7,6,2014
"2072","2015-07-15T14:00:00Z","Animalia","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Microcarbo","Microcarbo melanoleucos",7,16,2015
"2075","2010-04-29T14:00:00Z","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Tetrarogidae","Notesthes","Notesthes robusta",4,30,2010
"2089","2010-10-29T13:00:00Z","Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Streptopelia chinensis",10,30,2010
"2098","2010-07-15T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus poliocephalus",7,16,2010
"2099","2010-04-18T14:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus maculatus",4,19,2010
"2108","2016-01-21T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Timaliidae","Zosterops","Zosterops lateralis",1,22,2016
"2134","2013-04-21T14:00:00Z","Animalia","Chordata","Actinopterygii","Siluriformes","Plotosidae","Tandanus","Tandanus tandanus",4,22,2013
"2169","2015-04-06T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius ruficapillus",4,7,2015
"2205","2011-10-20T13:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla australis",10,21,2011
"2206","2010-10-27T13:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",10,28,2010
"2209","2011-10-20T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris compressa",10,21,2011
"2218","2010-05-12T14:00:00Z","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Trichoglossus","Trichoglossus haematodus",5,13,2010
"2220","2014-04-10T14:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus maculatus",4,11,2014
"2232","2015-04-16T14:00:00Z","Animalia","Chordata","Aves","Ciconiiformes","Threskiornithidae","Threskiornis","Threskiornis moluccus",4,17,2015
"2234","2010-05-12T14:00:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euploea","Euploea corinna",5,13,2010
"2243","2012-08-10T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala pectoralis",8,11,2012
"2259","2012-08-10T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Meliphaga","Meliphaga lewinii",8,11,2012
"2284","2013-10-13T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris compressa",10,14,2013
"2292","2015-01-03T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Lonchura","Lonchura castaneothorax",1,4,2015
"2339","2015-10-18T13:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",10,19,2015
"2414","2010-10-28T13:00:00Z","Animalia","Chordata","Actinopterygii","Atheriniformes","Melanotaeniidae","Melanotaenia","Melanotaenia duboulayi",10,29,2010
"2423","2015-07-15T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus orru",7,16,2015
"2443","2012-10-21T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris compressa",10,22,2012
"2444","2011-10-23T13:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki",10,24,2011
"2533","2013-10-27T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris galii",10,28,2013
"2537","2010-04-18T14:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris klunzingeri",4,19,2010
"2544","2014-04-19T14:00:00Z","Animalia","Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","Dendrocygna arcuata",4,20,2014
"2590","2011-10-26T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto",10,27,2011
"2596","2014-07-05T14:00:00Z","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala rufiventris",7,6,2014
"2599","2016-10-19T13:00:00Z","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Pandion","Pandion cristatus",10,20,2016
"2600","2013-10-13T13:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla australis",10,14,2013
"2608","2010-10-24T13:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki",10,25,2010
"2627","2012-11-15T13:00:00Z","Animalia","Chordata","Reptilia","Squamata","Diplodactylidae","Diplodactylus","Diplodactylus vittatus",11,16,2012
"2741","2011-04-20T14:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Hypseleotris","Hypseleotris compressa",4,21,2011
"3101","2013-10-17T13:00:00Z","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","Mogurnda","Mogurnda adspersa",10,18,2013
"5931","2018-03-17T06:27:00Z","Animalia","Chordata","Aves","Passeriformes","Dicruridae","Dicrurus","Dicrurus bracteatus",3,17,2018
"6043","2020-03-20T06:38:00Z","Animalia","Arthropoda","Insecta","Mantodea","Mantidae","Orthodera","Orthodera ministralis",3,20,2020
"6069","2017-06-16T01:20:00Z","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","Merops ornatus",6,16,2017
"6231","2020-03-07T21:55:00Z","Plantae","Charophyta","Equisetopsida","Malpighiales","Hypericaceae","Hypericum","Hypericum gramineum",3,8,2020
"6246","2021-03-31T02:56:00Z","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum","",3,31,2021
"6534","2021-03-26T02:08:00Z","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Grevillea","Grevillea robusta",3,26,2021
"7484","2021-03-12T04:16:00Z","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Halmus","Halmus chalybeus",3,12,2021
"7493","2019-03-09T23:36:00Z","Plantae","Charophyta","Equisetopsida","Asparagales","Xanthorrhoeaceae","Xanthorrhoea","",3,10,2019
"7924","2013-03-15T21:04:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Palpita","",3,16,2013
"11865","2021-03-10T02:41:00Z","Animalia","Arthropoda","Insecta","Diptera","Tachinidae","","",3,10,2021
"11870","2020-09-16T01:34:00Z","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Entomyzon","Entomyzon cyanotis",9,16,2020
"11873","2021-03-05T22:58:00Z","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","","",3,6,2021
"11875","2020-12-27T14:22:00Z","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","","",12,28,2020
"11886","2021-03-27T01:52:00Z","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Iridomyrmex","",3,27,2021
"11888","2020-09-04T22:32:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus giganteus",9,5,2020
"11889","2021-03-08T23:31:00Z","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Sphecotheres","Sphecotheres vieilloti",3,9,2021
"11891","2020-06-05T22:58:00Z","Plantae","Charophyta","Equisetopsida","Laurales","Lauraceae","Cryptocarya","Cryptocarya triplinervis",6,6,2020
"11899","2021-03-08T01:47:00Z","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Lepidosperma","Lepidosperma laterale",3,8,2021
"11902","2019-03-24T03:12:00Z","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus atratus",3,24,2019
"11903","2021-03-29T04:51:00Z","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Crocothemis","Crocothemis nigrifrons",3,29,2021
"11906","2017-12-18T03:42:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Proteuxoa","",12,18,2017
"11909","2021-03-04T09:20:00Z","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Comostola","Comostola laesaria",3,4,2021
"11910","2021-03-11T09:30:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Petauridae","Petaurus","Petaurus norfolcensis",3,11,2021
"11912","2020-12-31T09:55:00Z","Animalia","Chordata","Mammalia","Diprotodontia","Phalangeridae","Trichosurus","Trichosurus vulpecula",12,31,2020
"1309","2012-04-09T14:00:00Z","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla reinhardtii",4,10,2012
"1348","2011-04-10T14:00:00Z","Animalia","Chordata","Actinopterygii","Siluriformes","Plotosidae","Tandanus","Tandanus tandanus",4,11,2011
"1401","2014-04-21T14:00:00Z","Animalia","Chordata","Actinopterygii","Siluriformes","Plotosidae","Tandanus","Tandanus tandanus",4,22,2014
"1514","2011-04-26T14:00:00Z","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus hellerii",4,27,2011
"1523","2016-01-21T13:00:00Z","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Sphecotheres","Sphecotheres vieilloti",1,22,2016
"1569","2010-06-17T14:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus poliocephalus",6,18,2010
"2020","2014-10-24T13:00:00Z","Animalia","Chordata","Mammalia","Chiroptera","Emballonuridae","Saccolaimus","Saccolaimus flaviventris",10,25,2014
"2021","2016-07-24T14:00:00Z","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ruficollis",7,25,2016
"2024","2014-07-05T14:00:00Z","Plantae","Charophyta","Equisetopsida","Malpighiales","Rhizophoraceae","Ceriops","Ceriops tagal",7,6,2014
